"gene","Orthogroup","avg_log2FC","cluster_name","source","ref_cluster","query_cluster","species","tissue"
"Potri_003G151700","OG0001940",1.62490601069191,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_004G059600","OG0006636",5.5509885343518,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_004G135200","OG0004467",0.715192040920783,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_004G190900","OG0000701",0.536194520822022,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_004G211900","OG0000561",5.39076731734859,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_006G063000","OG0000797",0.49303408001772,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_006G085200","OG0000950",0.290947067610672,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_006G124800","OG0001343",0.317920601112057,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_006G129200","OG0000462",4.96945969332919,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_006G136700","OG0000524",1.48873223928457,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_006G200300","OG0002090",0.927353466605678,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_006G217200","OG0005781",0.282067772446243,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_007G128600","OG0001112",0.35311120460114,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_008G012400","OG0002090",1.14618445977045,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_008G038100","OG0004826",0.724143299081983,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_008G038200","OG0000362",0.475280074045508,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_008G073300","OG0002860",1.61381380013306,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_008G099300","OG0000372",1.24364708562763,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_008G195000","OG0003459",2.17840084577286,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_009G085100","OG0000225",0.483547128850156,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_009G152800","OG0000701",0.409187153023598,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_010G042000","OG0000769",0.629696972471516,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_010G184000","OG0002860",3.15445916277173,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_010G207200","OG0001242",2.47845789424427,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_010G224100","OG0000362",1.05010426918415,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_011G033100","OG0000233",0.259406859587612,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_011G061500","OG0000106",3.90814398848302,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_011G069600","OG0006636",5.27870992503513,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_011G122700","OG0001967",1.94960829290374,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_012G006400","OG0000148",1.13361672875077,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_013G004100","OG0000372",1.51778745142947,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_013G061800","OG0000701",1.06924210270282,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_013G131200","OG0000950",0.387426799224016,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_014G114700","OG0000372",0.570968443667461,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_015G060100","OG0000182",5.24833248437935,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_016G033200","OG0000155",0.972438887263088,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_016G101900","OG0005495",1.45475463298187,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_017G029000","OG0002116",1.86660080844704,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_017G059300","OG0004944",1.64314116562109,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_017G092000","OG0000636",1.03285980589402,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_018G063500","OG0000524",1.85109090708019,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Potri_018G103900","OG0000049",5.47987028457321,"10","query","Epidermis",10,"oryza_sativa","Root;Leaf"
"Os03g0279200","OG0000381",4.01549382951359,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os05g0574300","OG0000088",3.78873991225351,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os08g0490900","OG0000088",3.65187344614235,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os06g0160100","OG0000052",3.63071195729754,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os06g0160001","OG0000052",3.61400143522471,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os02g0684500","OG0000127",3.60102690621527,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os04g0583600","OG0000127",3.52944768189551,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os11g0155900","OG0000052",3.13867913810697,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os01g0153300","OG0000088",2.99385432992729,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os01g0153100","OG0000088",2.95634236573709,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os05g0113900","OG0000381",2.93852188652962,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os01g0152900","OG0000088",2.90783867625587,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os01g0835900","OG0000127",2.72565078880828,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os09g0433600","OG0000127",2.48023840352038,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os04g0253000","OG0000559",2.41436334158772,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os05g0462700","OG0000127",2.2616043893529,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0119900","OG0000127",2.17975144596242,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os07g0549900","OG0000127",2.11806670513572,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os12g0530000","OG0002013",2.03667773962685,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os04g0419600","OG0000052",2.03427493988617,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os10g0418000","OG0001026",2.02825369433026,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os01g0152300","OG0000088",1.99215333090757,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0162200","OG0001026",1.96310299285768,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os01g0149600","OG0000088",1.9107512533139,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os10g0539500","OG0000127",1.83402262775131,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os01g0839500","OG0000088",1.83027901107953,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0279000","OG0000088",1.75397378341039,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os09g0553100","OG0000127",1.6660534791318,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os01g0152700","OG0000088",1.63466031723586,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0799000","OG0000559",1.5729956903426,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os10g0563700","OG0007940",1.45370731245977,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os01g0191100","OG0001753",1.40720108784258,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0154700","OG0002034",1.40376665523056,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os02g0814700","OG0001602",1.31671081596806,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0424800","OG0002966",1.28753384530083,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os08g0428800","OG0002654",1.28617785634007,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os06g0555400","OG0002518",1.28152202856503,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os08g0116500","OG0002545",1.27518431903265,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os05g0459900","OG0002414",1.27162510440876,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0794700","OG0003259",1.26313729890376,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os01g0679700","OG0001869",1.2526902680196,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os02g0622300","OG0002863",1.23562628085716,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0141000","OG0003312",1.23369095801731,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0598800","OG0002829",1.22765933892385,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os05g0155100","OG0002592",1.22480778188552,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os09g0501200","OG0001840",1.21681870211969,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os11g0433900","OG0003282",1.21654742794002,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0139100","OG0001602",1.21516949163672,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0337800","OG0001634",1.21002110066591,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0798600","OG0002803",1.20893234926415,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os08g0234000","OG0000695",1.19764852731445,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os04g0349500","OG0001937",1.18949434306869,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os01g0834500","OG0002028",1.18383878863842,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os05g0477300","OG0004054",1.17981003927576,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os07g0150200","OG0002178",1.17818264090837,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os01g0276000","OG0002494",1.17617046010498,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os08g0530200","OG0002663",1.17416420827357,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os11g0482000","OG0003479",1.17081960992867,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os12g0567700","OG0002814",1.1663394052393,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os04g0613600","OG0002599",1.16301291642718,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os09g0402100","OG0002654",1.16158997285855,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os01g0896700","OG0002567",1.15846733623779,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0818400","OG0002028",1.15801222480844,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os07g0546700","OG0003282",1.15447628678575,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os08g0326400","OG0002156",1.14544764782369,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os02g0503400","OG0002310",1.14278386096498,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os01g0839900","OG0010141",1.13539303831549,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os04g0430100","OG0002830",1.13262965795085,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os10g0465800","OG0003312",1.12889721020753,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os10g0170200","OG0001953",1.12197595760265,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os11g0127900","OG0002913",1.12053622312925,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os05g0466600","OG0000127",1.11933392172037,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0756000","OG0002774",1.11222878691734,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0408300","OG0003090",1.11032084616965,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os08g0128500","OG0003269",1.10887340444585,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os05g0160200","OG0002753",1.10401355032059,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os06g0130800","OG0000559",1.09748128107264,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0424500","OG0002966",1.09745031359838,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os02g0321900","OG0001825",1.08177680256997,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0200500","OG0002691",1.0812022324086,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0576700","OG0002273",1.07689615825596,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os07g0208000","OG0001506",1.07312872363343,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os08g0559200","OG0002158",1.06506239325251,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0577000","OG0002506",1.06217055569308,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os10g0466700","OG0001602",1.0548591045184,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os07g0622100","OG0001458",1.05463804442228,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os08g0129200","OG0001031",1.05309352218678,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0234200","OG0000811",1.04107559416024,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os09g0485900","OG0002674",1.0389121751063,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os12g0167900","OG0001653",1.03839228993567,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os10g0564300","OG0003485",1.03292114876488,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os08g0156800","OG0001849",1.03145255935153,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os11g0602500","OG0002034",1.0303334579788,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os02g0797200","OG0003814",1.02359119730947,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os02g0105900","OG0002086",1.02216852527185,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os04g0413600","OG0001925",1.01766694099484,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os04g0501000","OG0001615",1.01757165434726,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os08g0117300","OG0001930",1.01663419875248,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os06g0701400","OG0011202",1.01531971657849,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os01g0328400","OG0002753",1.0150622020134,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os04g0473400","OG0002708",1.01491385909397,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os11g0602600","OG0002034",1.01445005844184,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os09g0568800","OG0002158",1.01116727810973,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os09g0258600","OG0002663",1.01093459129123,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os09g0507800","OG0002156",1.00834160063967,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os01g0815800","OG0002631",1.00652872754612,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os05g0486700","OG0002631",1.00501212491151,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os06g0130900","OG0000052",1.00359345252496,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os01g0962600","OG0002830",1.00154884123631,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os12g0124200","OG0002913",0.999655252194802,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os05g0541900","OG0002556",0.999167611894167,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0297100","OG0001801",0.980630933216535,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os02g0478600","OG0001506",0.973214480492347,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os05g0556900","OG0001821",0.971652412004188,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os04g0598200","OG0002508",0.964275555533224,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os02g0821200","OG0002556",0.963734380365358,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0743400","OG0001026",0.961663443613082,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os02g0618250","OG0008087",0.952043001038563,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os11g0168200","OG0001653",0.941826671575395,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0343500","OG0001929",0.94102331221203,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0345200","OG0002916",0.938777009413511,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os08g0130500","OG0003973",0.935066685808328,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os02g0287000","OG0002691",0.93288501963237,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os04g0376000","OG0002310",0.917493502394898,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os02g0111700","OG0003269",0.915679793622319,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0807800","OG0003453",0.905753580848072,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os02g0699600","OG0002508",0.902769835010686,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os02g0534800","OG0001925",0.894520812722345,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os07g0674200","OG0001929",0.893188915852777,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os10g0411800","OG0003171",0.887599681839844,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os07g0229900","OG0002178",0.871070283888593,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os06g0181566","OG0003814",0.868126223441738,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os05g0557000","OG0001869",0.862540993535825,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os01g0938900","OG0001029",0.855089596364551,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os03g0241200","OG0006316",0.846169883853531,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os02g0175600","OG0003090",0.842415276146541,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os12g0150100","OG0003177",0.83697224228335,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Os07g0613200","OG0003090",0.821496043608257,"Initial cell","reference","Initial cell",1,"oryza_sativa","Root;Leaf"
"Potri_001G016900","OG0000052",2.95774093398373,"1","query","Initial cell",1,"oryza_sativa","Root;Leaf"
"Potri_001G034400","OG0001029",1.20941424991682,"1","query","Initial cell",1,"oryza_sativa","Root;Leaf"
"Potri_001G046600","OG0002178",1.44739112341715,"1","query","Initial cell",1,"oryza_sativa","Root;Leaf"
"Potri_001G118100","OG0001506",1.46798649761538,"1","query","Initial cell",1,"oryza_sativa","Root;Leaf"
"Potri_001G156100","OG0002829",1.63307146382372,"1","query","Initial cell",1,"oryza_sativa","Root;Leaf"
"Potri_001G194000","OG0002556",1.28278822119033,"1","query","Initial cell",1,"oryza_sativa","Root;Leaf"
