"reference_cluster","query_cluster","num_common_OMG","FDR","test","species","tissue"
"Xylem",3,6,1,"Fail","oryza_sativa","Root;Leaf"
"Epidermis",4,8,1,"Fail","oryza_sativa","Root;Leaf"
"Fiber cell",4,6,1,"Fail","oryza_sativa","Root;Leaf"
"Initial cell",4,4,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll precursor/Root endodermis",4,3,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll/Cortex",4,3,1,"Fail","oryza_sativa","Root;Leaf"
"Mestome sheath",4,9,1,"Fail","oryza_sativa","Root;Leaf"
"Parenchyma",4,9,0.507005015281302,"Fail","oryza_sativa","Root;Leaf"
"Pericycle",4,10,1,"Fail","oryza_sativa","Root;Leaf"
"Phloem",4,26,1.23823985532585e-09,"Reject","oryza_sativa","Root;Leaf"
"Procambium",4,9,0.976149003588876,"Fail","oryza_sativa","Root;Leaf"
"Root exodermis/Sclerenchym",4,4,1,"Fail","oryza_sativa","Root;Leaf"
"Root stele",4,5,1,"Fail","oryza_sativa","Root;Leaf"
"Vascular tissue",4,4,0.982180941870821,"Fail","oryza_sativa","Root;Leaf"
"Xylem",4,8,1,"Fail","oryza_sativa","Root;Leaf"
"Epidermis",5,12,0.783822122335951,"Fail","oryza_sativa","Root;Leaf"
"Fiber cell",5,6,1,"Fail","oryza_sativa","Root;Leaf"
"Initial cell",5,1,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll precursor/Root endodermis",5,2,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll/Cortex",5,7,0.552700487625258,"Fail","oryza_sativa","Root;Leaf"
"Mestome sheath",5,8,1,"Fail","oryza_sativa","Root;Leaf"
"Parenchyma",5,4,1,"Fail","oryza_sativa","Root;Leaf"
"Pericycle",5,5,1,"Fail","oryza_sativa","Root;Leaf"
"Phloem",5,4,1,"Fail","oryza_sativa","Root;Leaf"
"Procambium",5,14,0.0411561198488427,"Reject","oryza_sativa","Root;Leaf"
"Root exodermis/Sclerenchym",5,10,1,"Fail","oryza_sativa","Root;Leaf"
"Root stele",5,5,1,"Fail","oryza_sativa","Root;Leaf"
"Vascular tissue",5,4,0.783822122335951,"Fail","oryza_sativa","Root;Leaf"
"Xylem",5,10,1,"Fail","oryza_sativa","Root;Leaf"
"Epidermis",6,28,0.216574715426192,"Fail","oryza_sativa","Root;Leaf"
"Fiber cell",6,8,1,"Fail","oryza_sativa","Root;Leaf"
"Initial cell",6,3,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll precursor/Root endodermis",6,5,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll/Cortex",6,3,1,"Fail","oryza_sativa","Root;Leaf"
"Mestome sheath",6,14,1,"Fail","oryza_sativa","Root;Leaf"
"Parenchyma",6,8,1,"Fail","oryza_sativa","Root;Leaf"
"Pericycle",6,16,1,"Fail","oryza_sativa","Root;Leaf"
"Phloem",6,8,1,"Fail","oryza_sativa","Root;Leaf"
"Procambium",6,14,1,"Fail","oryza_sativa","Root;Leaf"
"Root exodermis/Sclerenchym",6,37,0.0021507784169692,"Reject","oryza_sativa","Root;Leaf"
"Root stele",6,10,1,"Fail","oryza_sativa","Root;Leaf"
"Vascular tissue",6,4,1,"Fail","oryza_sativa","Root;Leaf"
"Xylem",6,32,0.0338569173234201,"Reject","oryza_sativa","Root;Leaf"
"Epidermis",7,18,1,"Fail","oryza_sativa","Root;Leaf"
"Fiber cell",7,14,0.576050845895392,"Fail","oryza_sativa","Root;Leaf"
"Initial cell",7,1,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll precursor/Root endodermis",7,2,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll/Cortex",7,10,0.984393099977303,"Fail","oryza_sativa","Root;Leaf"
"Mestome sheath",7,19,0.490380538453498,"Fail","oryza_sativa","Root;Leaf"
"Parenchyma",7,14,0.490380538453498,"Fail","oryza_sativa","Root;Leaf"
"Pericycle",7,12,1,"Fail","oryza_sativa","Root;Leaf"
"Phloem",7,13,0.779708465152057,"Fail","oryza_sativa","Root;Leaf"
"Procambium",7,19,0.350609639606793,"Fail","oryza_sativa","Root;Leaf"
"Root exodermis/Sclerenchym",7,20,1,"Fail","oryza_sativa","Root;Leaf"
"Root stele",7,19,0.0160668887518358,"Reject","oryza_sativa","Root;Leaf"
"Vascular tissue",7,9,0.371185167765507,"Fail","oryza_sativa","Root;Leaf"
"Xylem",7,16,1,"Fail","oryza_sativa","Root;Leaf"
"Epidermis",8,6,1,"Fail","oryza_sativa","Root;Leaf"
"Fiber cell",8,2,1,"Fail","oryza_sativa","Root;Leaf"
"Initial cell",8,59,6.28147810499545e-22,"Reject","oryza_sativa","Root;Leaf"
"Mesophyll precursor/Root endodermis",8,63,4.10911083183041e-24,"Reject","oryza_sativa","Root;Leaf"
"Mesophyll/Cortex",8,3,1,"Fail","oryza_sativa","Root;Leaf"
"Mestome sheath",8,3,1,"Fail","oryza_sativa","Root;Leaf"
"Parenchyma",8,2,1,"Fail","oryza_sativa","Root;Leaf"
"Pericycle",8,37,0.000491594806887415,"Reject","oryza_sativa","Root;Leaf"
"Phloem",8,2,1,"Fail","oryza_sativa","Root;Leaf"
"Procambium",8,3,1,"Fail","oryza_sativa","Root;Leaf"
"Root exodermis/Sclerenchym",8,5,1,"Fail","oryza_sativa","Root;Leaf"
"Root stele",8,1,1,"Fail","oryza_sativa","Root;Leaf"
"Vascular tissue",8,2,1,"Fail","oryza_sativa","Root;Leaf"
"Xylem",8,4,1,"Fail","oryza_sativa","Root;Leaf"
"Epidermis",9,13,0.936493917828697,"Fail","oryza_sativa","Root;Leaf"
"Fiber cell",9,10,0.426780329717017,"Fail","oryza_sativa","Root;Leaf"
"Initial cell",9,1,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll precursor/Root endodermis",9,0,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll/Cortex",9,8,0.546280860997722,"Fail","oryza_sativa","Root;Leaf"
"Mestome sheath",9,18,0.00947799601451196,"Reject","oryza_sativa","Root;Leaf"
"Parenchyma",9,6,1,"Fail","oryza_sativa","Root;Leaf"
"Pericycle",9,9,1,"Fail","oryza_sativa","Root;Leaf"
"Phloem",9,3,1,"Fail","oryza_sativa","Root;Leaf"
"Procambium",9,5,1,"Fail","oryza_sativa","Root;Leaf"
"Root exodermis/Sclerenchym",9,13,0.993479768675432,"Fail","oryza_sativa","Root;Leaf"
"Root stele",9,7,0.857050234822793,"Fail","oryza_sativa","Root;Leaf"
"Vascular tissue",9,3,1,"Fail","oryza_sativa","Root;Leaf"
"Xylem",9,11,1,"Fail","oryza_sativa","Root;Leaf"
"Epidermis",10,35,0.000419637158380787,"Reject","oryza_sativa","Root;Leaf"
"Fiber cell",10,13,0.576050845895392,"Fail","oryza_sativa","Root;Leaf"
"Initial cell",10,0,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll precursor/Root endodermis",10,1,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll/Cortex",10,6,1,"Fail","oryza_sativa","Root;Leaf"
"Mestome sheath",10,11,1,"Fail","oryza_sativa","Root;Leaf"
"Parenchyma",10,5,1,"Fail","oryza_sativa","Root;Leaf"
"Pericycle",10,10,1,"Fail","oryza_sativa","Root;Leaf"
"Phloem",10,6,1,"Fail","oryza_sativa","Root;Leaf"
"Procambium",10,7,1,"Fail","oryza_sativa","Root;Leaf"
"Root exodermis/Sclerenchym",10,28,0.0830129265155267,"Fail","oryza_sativa","Root;Leaf"
"Root stele",10,4,1,"Fail","oryza_sativa","Root;Leaf"
"Vascular tissue",10,3,1,"Fail","oryza_sativa","Root;Leaf"
"Xylem",10,38,2.5483339072139e-05,"Reject","oryza_sativa","Root;Leaf"
"Epidermis",11,22,0.516121072430854,"Fail","oryza_sativa","Root;Leaf"
"Fiber cell",11,12,0.662341860800461,"Fail","oryza_sativa","Root;Leaf"
"Initial cell",11,3,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll precursor/Root endodermis",11,3,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll/Cortex",11,4,1,"Fail","oryza_sativa","Root;Leaf"
"Mestome sheath",11,14,0.925040190717534,"Fail","oryza_sativa","Root;Leaf"
"Parenchyma",11,13,0.377363527058363,"Fail","oryza_sativa","Root;Leaf"
"Pericycle",11,7,1,"Fail","oryza_sativa","Root;Leaf"
"Phloem",11,10,1,"Fail","oryza_sativa","Root;Leaf"
"Procambium",11,15,0.576050845895392,"Fail","oryza_sativa","Root;Leaf"
"Root exodermis/Sclerenchym",11,19,0.993479768675432,"Fail","oryza_sativa","Root;Leaf"
"Root stele",11,16,0.0453532565448034,"Reject","oryza_sativa","Root;Leaf"
"Vascular tissue",11,6,0.857050234822793,"Fail","oryza_sativa","Root;Leaf"
"Xylem",11,17,1,"Fail","oryza_sativa","Root;Leaf"
"Epidermis",12,20,0.350609639606793,"Fail","oryza_sativa","Root;Leaf"
"Fiber cell",12,11,0.552700487625258,"Fail","oryza_sativa","Root;Leaf"
"Initial cell",12,3,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll precursor/Root endodermis",12,3,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll/Cortex",12,9,0.576050845895392,"Fail","oryza_sativa","Root;Leaf"
"Mestome sheath",12,6,1,"Fail","oryza_sativa","Root;Leaf"
"Parenchyma",12,5,1,"Fail","oryza_sativa","Root;Leaf"
"Pericycle",12,8,1,"Fail","oryza_sativa","Root;Leaf"
"Phloem",12,5,1,"Fail","oryza_sativa","Root;Leaf"
"Procambium",12,7,1,"Fail","oryza_sativa","Root;Leaf"
"Root exodermis/Sclerenchym",12,32,0.000100354553779916,"Reject","oryza_sativa","Root;Leaf"
"Root stele",12,6,1,"Fail","oryza_sativa","Root;Leaf"
"Vascular tissue",12,1,1,"Fail","oryza_sativa","Root;Leaf"
"Xylem",12,17,0.71866111702036,"Fail","oryza_sativa","Root;Leaf"
"Epidermis",13,19,1,"Fail","oryza_sativa","Root;Leaf"
"Fiber cell",13,15,0.507005015281302,"Fail","oryza_sativa","Root;Leaf"
"Initial cell",13,4,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll precursor/Root endodermis",13,3,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll/Cortex",13,12,0.576050845895392,"Fail","oryza_sativa","Root;Leaf"
"Mestome sheath",13,20,0.353990237994239,"Fail","oryza_sativa","Root;Leaf"
"Parenchyma",13,8,1,"Fail","oryza_sativa","Root;Leaf"
"Pericycle",13,23,0.576050845895392,"Fail","oryza_sativa","Root;Leaf"
"Phloem",13,14,0.576050845895392,"Fail","oryza_sativa","Root;Leaf"
"Procambium",13,12,1,"Fail","oryza_sativa","Root;Leaf"
"Root exodermis/Sclerenchym",13,24,0.662341860800461,"Fail","oryza_sativa","Root;Leaf"
"Root stele",13,10,1,"Fail","oryza_sativa","Root;Leaf"
"Vascular tissue",13,2,1,"Fail","oryza_sativa","Root;Leaf"
"Xylem",13,21,1,"Fail","oryza_sativa","Root;Leaf"
"Epidermis",14,7,1,"Fail","oryza_sativa","Root;Leaf"
"Fiber cell",14,4,1,"Fail","oryza_sativa","Root;Leaf"
"Initial cell",14,3,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll precursor/Root endodermis",14,2,1,"Fail","oryza_sativa","Root;Leaf"
"Mesophyll/Cortex",14,3,1,"Fail","oryza_sativa","Root;Leaf"
"Mestome sheath",14,5,1,"Fail","oryza_sativa","Root;Leaf"
"Parenchyma",14,10,0.0569458625316923,"Fail","oryza_sativa","Root;Leaf"
"Pericycle",14,5,1,"Fail","oryza_sativa","Root;Leaf"
"Phloem",14,10,0.0870063994123186,"Fail","oryza_sativa","Root;Leaf"
"Procambium",14,6,1,"Fail","oryza_sativa","Root;Leaf"
"Root exodermis/Sclerenchym",14,4,1,"Fail","oryza_sativa","Root;Leaf"
"Root stele",14,4,1,"Fail","oryza_sativa","Root;Leaf"
"Vascular tissue",14,2,1,"Fail","oryza_sativa","Root;Leaf"
"Xylem",14,13,0.353990237994239,"Fail","oryza_sativa","Root;Leaf"
